model,horizon,n_cases,n_lakes,MAE,RMSE,MASE,pct_lakes_beat_persistence,n_interval_80,coverage_80,width_80,n_interval_95,coverage_95,width_95,support_tier
Recent 5-year mean,5,1402,339,0.6410955575009042,0.8819987798042581,1.1321710649209047,61.94690265486725,1402,0.7674750356633381,1.8466285201035557,1402,0.9386590584878745,3.360188777307298,Full
Local-level state-space,5,1402,339,0.6353452362475593,0.8823364547903219,1.126995946309484,69.32153392330383,1402,0.7781740370898717,1.890389666910972,1402,0.9450784593437945,3.379743796684,Full
Recent 5-year mean,5,123,62,0.6994552058882852,1.0095650532865337,1.5785489197670337,37.096774193548384,123,0.7398373983739838,1.8445614326579776,123,0.9186991869918699,3.335108769859193,Limited
Local-level state-space,5,123,62,0.6783208783727039,1.0304507017844233,1.4953813060440224,54.83870967741935,123,0.7723577235772358,1.8854550287795369,123,0.9186991869918699,3.3547216495320393,Limited
